team,espn_team_id
Duke,150
Akron,2006
Houston,248
Arizona,12
Florida,57
Michigan,130
Purdue,2509
Connecticut,41
Gonzaga,2250
Kansas,2305
Iowa St,66
Michigan St,127
Illinois,356
Virginia,258
Alabama,333
Louisville,97
Kentucky,96
Texas Tech,2641
Wisconsin,275
Tennessee,2633
Arkansas,8
North Carolina,153
UCLA,26
Ohio St,194
Villanova,222
Vanderbilt,238
St John's,2599
Nebraska,158
BYU,252
Texas,251
Iowa,2294
NC State,152
Miami FL,2390
Texas A&M,245
St Mary's CA,2608
Clemson,228
Missouri,2623
Santa Clara,2541
SMU,2567
VCU,2670
Georgia,61
UCF,2116
TCU,2628
Utah St,328
St Louis,139
South Florida,58
Northern Iowa,2460
Miami OH,193
McNeese St,2377
Hofstra,2275
Cal Baptist,2856
Hawaii,62
High Point,2272
Idaho,70
N Dakota St,2449
Queens NC,2511
Troy,2653
Furman,231
Kennesaw,338
Wright St,2750
Tennessee St,2634
Penn,219
Siena,2561
UMBC,2378
Prairie View,2507
LIU Brooklyn,2358
Howard,47
Lehigh,2329
